Task,Filename,Type,NIQE,BRISQUE,Entropy,LOE,Sharpness,Gradient
LowLight_ZeroDCE,img_7.PNG,low_light,,,3.6186468601226807,236.6585,,
LowLight_ZeroDCE,img_8.PNG,low_light,,,3.7146964073181152,239.2441,,
LowLight_ZeroDCE,img_9.PNG,low_light,,,4.191916465759277,336.9626,,
LowLight_ZeroDCE,img_10.PNG,low_light,,,5.95615291595459,533.1373,,
LowLight_ZeroDCE,img_11.PNG,low_light,,,4.111785888671875,564.6151,,
LowLight_ZeroDCE,img_12.PNG,low_light,,,3.317944049835205,327.0064,,
LowLight_ZeroDCE,img_13.PNG,low_light,,,3.348522901535034,492.6294,,
LowLight_ZeroDCE,img_14.PNG,low_light,,,2.9450881481170654,485.085,,
LowLight_ZeroDCE,img_15.PNG,low_light,,,4.965792655944824,514.8725,,
LowLight_ZeroDCE,img_16.PNG,low_light,,,4.838815212249756,577.1475,,
LowLight_ZeroDCE,img_17.PNG,low_light,,,3.937227249145508,306.1384,,
LowLight_ZeroDCE,img_18.PNG,low_light,,,4.299408435821533,305.7786,,
LowLight_ZeroDCE,img_19.PNG,low_light,,,4.308927059173584,341.4666,,
LowLight_ZeroDCE,img_20.PNG,low_light,,,4.503933429718018,536.2744,,
LowLight_ZeroDCE,img_21.PNG,low_light,,,1.0417159795761108,265.3681,,
LowLight_ZeroDCE,img_22.PNG,low_light,,,1.2986159324645996,387.6473,,
LowLight_ZeroDCE,img_23.PNG,low_light,,,3.7190604209899902,313.8983,,
LowLight_ZeroDCE,img_24.PNG,low_light,,,3.3269906044006348,323.1301,,
LowLight_ZeroDCE,img_25.PNG,low_light,,,2.7009875774383545,282.6816,,
LowLight_ZeroDCE,img_26.PNG,low_light,,,2.205108880996704,309.4466,,
LowLight_ZeroDCE,img_27.PNG,low_light,,,2.3406825065612793,285.753,,
LowLight_ZeroDCE,img_28.PNG,low_light,,,1.8928637504577637,385.3721,,
LowLight_ZeroDCE,img_29.PNG,low_light,,,2.7934377193450928,356.5746,,
LowLight_ZeroDCE,img_30.PNG,low_light,,,2.5640523433685303,177.4144,,
LowLight_ZeroDCE,img_31.PNG,low_light,,,2.4244885444641113,202.4172,,
LowLight_ZeroDCE,img_32.PNG,low_light,,,3.6055431365966797,291.9349,,
LowLight_ZeroDCE,img_33.PNG,low_light,,,3.2235543727874756,282.7398,,
LowLight_ZeroDCE,img_34.PNG,low_light,,,2.3927884101867676,188.8601,,
LowLight_ZeroDCE,img_35.PNG,low_light,,,2.125706911087036,188.693,,
